long_threshold,short_threshold,tx_cost,total_return,annualized_return,volatility_annual,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,trades_count,avg_holding_days
0.250000,-1.000000,0.100000,-15.562843,-7.563777,19.787583,-0.296279,-0.283796,-36.876562,24.214418,319,1.694969
0.250000,-0.750000,0.100000,-21.294611,-10.536098,20.366098,-0.442829,-0.431870,-38.197995,26.062847,328,1.648318
0.500000,-1.000000,0.100000,-18.871325,-9.265779,17.908799,-0.451006,-0.368765,-30.796239,18.114603,260,2.081081
0.500000,-0.750000,0.100000,-24.378810,-12.183535,18.546257,-0.605677,-0.517468,-32.242735,19.963031,278,1.945848
0.750000,-1.000000,0.100000,-23.004744,-11.445216,16.249023,-0.664066,-0.445428,-29.080921,13.123845,196,2.748718
1.000000,-1.000000,0.100000,-23.670158,-11.801871,16.012937,-0.701462,-0.428531,-28.140075,11.460259,164,3.288344
0.750000,-0.750000,0.100000,-28.229834,-14.291892,16.940316,-0.823271,-0.594392,-30.561940,14.972274,219,2.458716
1.000000,-0.750000,0.100000,-28.849114,-14.636537,16.709882,-0.861079,-0.576496,-29.639776,13.308688,189,2.851064
0.250000,-0.500000,0.100000,-35.664118,-18.540570,21.050994,-0.867458,-0.889436,-44.499245,27.541590,351,1.540000
0.500000,-0.500000,0.100000,-38.185262,-20.040631,19.292873,-1.061283,-0.978436,-39.600689,21.626617,310,1.744337
0.250000,-0.250000,0.100000,-46.694429,-25.361246,22.778406,-1.169254,-1.311252,-48.967847,33.271719,400,1.355890
0.250000,-1.000000,0.200000,-42.340021,-22.585936,19.823851,-1.190978,-1.164547,-51.597275,21.996303,319,1.694969
0.500000,-1.000000,0.200000,-40.926601,-21.709347,17.910666,-1.275384,-1.070629,-44.315857,15.896488,260,2.081081
1.000000,-1.000000,0.200000,-37.718371,-19.760398,16.079581,-1.286619,-0.805779,-38.729023,10.351201,164,3.288344
0.750000,-0.500000,0.100000,-41.331036,-21.959017,17.740043,-1.307135,-1.080792,-41.698833,16.820702,271,1.985185
1.000000,-0.500000,0.100000,-41.834550,-22.271141,17.506939,-1.349790,-1.065626,-42.199190,15.157116,247,2.178862
0.750000,-1.000000,0.200000,-39.518111,-20.846910,16.306315,-1.350170,-0.926949,-40.967443,11.829945,196,2.748718
0.500000,-0.250000,0.100000,-48.778953,-26.732797,21.143645,-1.364386,-1.446156,-49.100058,27.356747,384,1.412533
0.250000,-0.750000,0.200000,-48.269519,-26.394889,20.428539,-1.396864,-1.390210,-53.926152,23.659889,328,1.648318
0.500000,-0.750000,0.200000,-47.000917,-25.561083,18.577500,-1.494770,-1.311006,-47.663548,17.560074,278,1.945848
1.000000,-0.750000,0.200000,-44.117451,-23.704763,16.796761,-1.524961,-1.046371,-44.412541,12.014787,189,2.851064
0.750000,-0.750000,0.200000,-45.733992,-24.738970,17.020943,-1.582898,-1.169883,-46.315715,13.493530,219,2.458716
0.750000,-0.250000,0.100000,-51.385498,-28.490547,19.732572,-1.599463,-1.589446,-51.690263,22.735675,361,1.502778
1.000000,-0.250000,0.100000,-51.802647,-28.776498,19.522175,-1.639345,-1.581397,-52.104797,21.072089,340,1.595870
1.000000,-1.000000,0.300000,-49.195548,-27.010464,16.205509,-1.860116,-1.195342,-49.413503,9.242144,164,3.288344
0.250000,-0.500000,0.200000,-60.429130,-35.016674,21.130711,-1.933317,-2.016244,-60.912036,24.953789,351,1.540000
0.750000,-1.000000,0.300000,-52.505732,-29.261466,16.427512,-2.023567,-1.420213,-52.824358,10.720887,196,2.748718
0.500000,-0.500000,0.200000,-59.458039,-34.280021,19.347017,-2.071924,-1.956774,-59.744799,18.853974,310,1.744337
0.250000,-1.000000,0.300000,-60.645527,-35.182142,19.915955,-2.076572,-2.063955,-62.898682,20.332717,319,1.694969
0.500000,-1.000000,0.300000,-57.004718,-32.460014,17.976716,-2.092093,-1.784689,-57.327531,14.787431,260,2.081081
1.000000,-0.500000,0.200000,-57.242924,-32.634251,17.593942,-2.155906,-1.736319,-57.468705,13.678373,247,2.178862
1.000000,-0.750000,0.300000,-56.124685,-31.820750,16.949181,-2.173573,-1.534215,-56.312913,10.536044,189,2.851064
0.750000,-0.500000,0.200000,-58.484173,-33.550687,17.831696,-2.201634,-1.859607,-58.703399,14.972274,271,1.985185
0.750000,-0.750000,0.300000,-58.985593,-33.925046,17.171080,-2.325907,-1.762275,-59.260748,12.014787,219,2.458716
0.250000,-0.750000,0.300000,-66.019861,-39.459551,20.553999,-2.337894,-2.368146,-66.747153,21.626617,328,1.648318
0.250000,-0.250000,0.200000,-70.527912,-43.336234,22.886154,-2.366617,-2.704308,-70.835017,29.205176,400,1.355890
0.500000,-0.750000,0.300000,-62.874683,-36.915822,18.678161,-2.372028,-2.119968,-63.153423,16.081331,278,1.945848
0.500000,-0.250000,0.200000,-69.797964,-42.687992,21.207084,-2.517836,-2.728712,-69.957446,23.659889,384,1.412533
1.000000,-0.250000,0.200000,-68.146337,-41.251523,19.617348,-2.612040,-2.570553,-68.314542,18.669131,340,1.595870
0.750000,-0.250000,0.200000,-69.071339,-42.050976,19.829409,-2.651077,-2.689562,-69.234659,19.963031,361,1.502778
1.000000,-0.500000,0.300000,-68.583109,-41.627442,17.747515,-2.943007,-2.425426,-68.717890,12.014787,247,2.178862
0.250000,-0.500000,0.300000,-75.679764,-48.178617,21.280332,-2.981338,-3.161776,-75.904517,22.365989,351,1.540000
0.500000,-0.500000,0.300000,-73.427305,-45.999919,19.477063,-3.064934,-2.951330,-73.562597,16.820702,310,1.744337
0.750000,-0.500000,0.300000,-70.636868,-43.433728,17.994206,-3.074830,-2.652320,-70.762839,13.308688,271,1.985185
0.250000,-0.250000,0.300000,-83.721202,-57.002023,23.060026,-3.542571,-4.108030,-83.858651,25.693161,400,1.355890
1.000000,-0.250000,0.300000,-78.959794,-51.554247,19.770040,-3.564940,-3.574681,-79.050059,16.451017,340,1.595870
0.500000,-0.250000,0.300000,-82.206247,-55.185773,21.336287,-3.653112,-4.027986,-82.282584,20.702403,384,1.412533
0.750000,-0.250000,0.300000,-80.335665,-53.053853,19.985771,-3.681472,-3.799430,-80.420027,17.744917,361,1.502778
