fold,train_start,train_end,test_start,test_end,train_size,test_size,rmse,mae,r2,sharpe
1,2015-03-13,2016-03-02,2016-03-03,2017-02-21,245.0,245.0,1.6438515253299277,1.218012239442698,-0.6899630773438019,1.74919069900744
2,2015-03-13,2017-02-21,2017-02-22,2018-02-09,490.0,245.0,1.235417624933325,0.906244823465643,-0.05029027970346611,1.1004555362515829
3,2015-03-13,2018-02-09,2018-02-12,2019-02-01,735.0,245.0,2.0563057427078,1.4679914934115825,-0.10937380785399009,0.361650809875506
4,2015-03-13,2019-02-01,2019-02-04,2020-01-23,980.0,245.0,1.7400497628110778,1.3580677968131698,-0.4918992123761594,3.004334099868669
5,2015-03-13,2020-01-23,2020-01-24,2021-01-12,1225.0,245.0,3.06484114959975,2.2104063553206887,-0.048164372860798776,1.334629511187474
6,2015-03-13,2021-01-12,2021-01-13,2021-12-31,1470.0,245.0,1.8370871818750547,1.4807411294731463,-0.39368925832444046,1.5228149909995168
7,2015-03-13,2021-12-31,2022-01-03,2022-12-21,1715.0,245.0,2.295337627735056,1.7901441368544413,-0.042534256698940176,-0.7257717948876783
8,2015-03-13,2022-12-21,2022-12-22,2023-12-13,1960.0,245.0,1.87490660515175,1.5180343362447277,-1.0352374379603764,2.126603514104604
9,2015-03-13,2023-12-13,2023-12-14,2024-12-04,2205.0,245.0,1.515295630937484,1.1273353646979336,-0.1326810772401643,1.0652814722818558
10,2015-03-13,2024-12-04,2024-12-05,2025-11-26,2450.0,245.0,2.1210478569943194,1.446841121054026,-0.048222309985873846,0.6065199432916086
OVERALL,,,,,1347.5,245.0,1.9384140708075546,1.4523818796778056,-0.30420550903480115,1.214570878198058
